ID_event,TimeStep,Lat,Lon,Vmax_ms,RMW_km,category,B,geometry_x,geometry_y,AREA_PERIL_ID,Centro_Lon,Centro_Lat,r_km,Vc_ms,Vc_mph
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.48660602923569 15.74682232266725),50,-61.48660602923569,15.746822322667251,1991.182961616315,3.6373577745518335,7.070457877098597
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.3867145308086 16.55946243022048),51,-61.386714530808604,16.559462430220478,2010.3794966784267,3.618237799903575,7.033291619682975
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.38746395772169 16.46909808727483),52,-61.387463957721685,16.469098087274826,2007.0133638321797,3.621570236456599,7.039769358122978
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.38820870482575 16.37873293911575),53,-61.38820870482575,16.378732939115753,2003.6900743580745,3.6248686712765554,7.0461810024814255
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.38894878223608 16.28836698975499),54,-61.38894878223608,16.28836698975499,2000.4098434401915,3.628132600918093,7.0525255741388415
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.38968419999365 16.19800024321136),55,-61.389684199993646,16.19800024321136,1997.1728848887205,3.63136152288777,7.058802096326119
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.39041496806549 16.1076327035108),56,-61.390414968065485,16.1076327035108,1993.979411082323,3.6345549358308724,7.065009594487657
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.39114109634499 16.0172643746863),57,-61.39114109634499,16.0172643746863,1990.8296329102168,3.637712339720765,7.071147096649436
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.39186259465225 15.92689526077787),58,-61.391862594652245,15.926895260777869,1987.7237597139472,3.6408332360507596,7.077213633791973
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.39257947273443 15.83652536583253),59,-61.39257947273443,15.836525365832534,1984.6619992288574,3.6439171280284013,7.083208240227994
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.39329174026606 15.74615469390427),60,-61.39329174026606,15.74615469390427,1981.64455752538,3.6469635207719753,7.0891299539844015
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.29302307747523 16.55871633367616),61,-61.29302307747523,16.558716333676163,2000.977195982028,3.6275674814956793,7.051427069862012
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.29381600303898 16.46835628912635),62,-61.293816003038984,16.46835628912635,1997.5958734441426,3.6309391291698123,7.057981028623825
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.2946039773729 16.37799543552799),63,-61.2946039773729,16.37799543552799,1994.2575358719257,3.6342765048846193,7.064468368026258
